Project,Address,Street,Suite,Eng. Co.,Assigend Shift
"SOPHIA BEDNARSKI, DMD",12660,LAMPLIGHTER SQR SHPPNG CTR,G,1740,B
lab corp.,12660,LAMPLIGHTER SQR SHPPNG CTR,H,1740,B
bi state prosthetics,12660,LAMPLIGHTER SQR SHPPNG CTR,I,1740,B
mx2 - curves for women,12660,LAMPLIGHTER SQR SHPPNG CTR,K,1740,B
IMO'S PIZZA,12668,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
cosmetic laser center,12670,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
golden nail,12672,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
farm bureau insurance services,12674,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
quizno's classic subs,12676,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
Ophthalmology Consultants,12692,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
MARY MARGARET'S LEARNING CENTER,11070,LITTIE DR,,1740,B
SOUTH POINTE CREDIT UNION,4702,MATTIS RD,,1740,B
ASSUMPTION CATHOLIC SCHOOL, 4709,MATTIS RD,,1740,B
ASSUMPTION CATHOLIC CHURCH, 4725,MATTIS RD,,1740,B
ASSUMPTION CATHOLIC CHURCH, 4733,MATTIS RD,,1740,B
The Arbors by Americare,4950,MATTIS RD,,1740,B
Mattis Pointe by Americare,4962,MATTIS RD,,1740,B
signature health services,5139,MATTIS RD,,1740,B
"L P BETZ, INC.",5151,MATTIS RD,,1740,B
dick wood associate,5151,MATTIS RD,B  lower level,1740,B
american benefit solutions,5151,MATTIS RD,C,1740,B
bsi,5151,MATTIS RD,D,1740,B
cfm (convenient food mart),5253,MATTIS RD,,1740,B
GEORGE KHOURY ASSOCIATION OF BASEBALL,5400,MERAMEC BOTTOM RD,,1740,B
pysch care consultants-DR. MALIK,13065,OLD TESSON FERRY RD,,1740,B
LAW OFFFICE,1230,OLD TESSON RD,100 B,1740,B
"JOHNSON & BAHR, CPA'S",12300,OLD TESSON RD,100-A,1740,B
APPLICATION ENGR,12300,OLD TESSON RD,"100-B,G",1740,B
STERLING CAPITAL MANAGEMENT,12300,OLD TESSON RD,100-C,1740,B
SMITH MANAGEMENT GROUP,12300,OLD TESSON RD,100-D,1740,B
THRIVENT FINANCIAL FOR LUTHERANS,12300,OLD TESSON RD,100E,1740,B
"GILL & ASSOCIATES, LLC",12300,OLD TESSON RD,200 A,1740,B
american family insurance,12300,OLD TESSON RD,200-C,1740,B
traffic pulse,12300,OLD TESSON RD,200-D,1740,B
GOLDEN MARKETING,12300,OLD TESSON RD,200-E,1740,B
AIR CHOICE ONE,12300,OLD TESSON RD,200-F,1740,B
SCHOOLTUBE,12300,OLD TESSON RD,200-G,1740,B
TRITEQ,12300,OLD TESSON RD,300-B,1740,B
EDWARD JONES,12300,OLD TESSON RD,300-C,1740,B
j r grimes consulting engineering,12300,OLD TESSON RD,300-D,1740,B
YUSEN,12300,OLD TESSON RD,400-A,1740,B
j. w. software,12300,OLD TESSON RD,400-B,1740,B
FARMERS INS,12300,OLD TESSON RD,400-C,1740,B
BEACON INDUSTRIEST,12300,OLD TESSON RD,400-D,1740,B
ABERNATHY & ASSOC,12300,OLD TESSON RD,400-E,1740,B
Vette Sports,12320,OLD TESSON RD,,1740,B
Storage USA,12334,OLD TESSON RD,,1740,B
st. johns mercy women health,12348,OLD TESSON RD,120,1740,B
st. johns mercy LAB,12348,OLD TESSON RD,140,1740,B
st. johns mercy PERIATRICS,12348,OLD TESSON RD,160,1740,B
SMITH SURGICAL SERVICES,12348,OLD TESSON RD,180,1740,B
ST. JOHNS MERCY RESOURCE ROOM,12348,OLD TESSON RD,220,1740,B
INTERNAL MECICINE,12348,OLD TESSON RD,240,1740,B
MIDWEST HEART GROUP,12348,OLD TESSON RD,260,1740,B
ST. JOHNS MERCY DIAGNOSTIC,12348,OLD TESSON RD,270,1740,B
"ALPHA PIPE CO, INC",12360,OLD TESSON RD,,1740,B
J & W AUTOMOTIVE,12370,OLD TESSON RD,,1740,B
Martin Manor Apts,12500,OLD TESSON RD,,1740,B
martin manor apts,12531,OLD TESSON RD,,1740,B
martin manor apts,12537,OLD TESSON RD,,1740,B
TOTS TO TODDLERS DAY CARE,12545,OLD TESSON RD,,1740,B
STRATFORD APartments,12559,OLD TESSON RD,B,1740,B
OLD TESSON SURGERY,12639,OLD TESSON RD,,1740,B
premier care,12639,OLD TESSON RD,115,1740,B
signature Therapy services,12639,OLD TESSON RD,120,1740,B
Mercy Childrens Center,12727,OLD TESSON RD,,1740,B
firestone,12791,OLD TESSON RD,,1740,B
outpatient surgery,12700,SOUTHFORK RD,100,1740,B
rETINA CONSULTANT,12700,SOUTHFORK RD,105,1740,B
St Anthony's Pharmacy,12700,SOUTHFORK RD,110,1740,B
MEDICAL ONCOLOGY/HEMATOLOGY CONSULTANT,12700,SOUTHFORK RD,125 & 145,1740,B
SOUTH COUNTY PEDIATRICS,12700,SOUTHFORK RD,140,1740,B
,12700,SOUTHFORK RD,150,1740,B
IMAGINE CENTER,12700,SOUTHFORK RD,151,1740,B
BREAST CENTER,12700,SOUTHFORK RD,153,1740,B
cardinal glennon pediatric specialities,12700,SOUTHFORK RD,155-D,1740,B
SOUTH COUNTY PEDIATRIC ASSociates,12700,SOUTHFORK RD,160,1740,B
SENIOR SERVICES,12700,SOUTHFORK RD,175,1740,B
ST. LOUIS INTERNAL MEDICINE,12700,SOUTHFORK RD,200,1740,B
DR. LEWIS,12700,SOUTHFORK RD,205,1740,B
Dr. Aisenstat,12700,SOUTHFORK RD,220-C,1740,B
VACANT,12700,SOUTHFORK RD,225-C,1740,B
WOMENS HEALTH PARTNERS,12700,SOUTHFORK RD,230,1740,B
St Anthony's Physicians Organization,12700,SOUTHFORK RD,235,1740,B
geistler & nettesheim family footware,12700,SOUTHFORK RD,260,1740,B
Primary Care Consultants,12700,SOUTHFORK RD,280,1740,B
YMCA,12736,SOUTHFORK RD,,1740,B
VACANT, 5183,SOUTHMOORE HILLS DR,,1740,B
suson pines,5265,SUSON HILLS DR,,1740,C
ALPHA OMEGA CHRISTIAN COUNSELING,11166,TESSON FERRY RD,203,1740,C
sjm smith surgical services,12122,TESSON FERRY RD,101,1740,C
LINDENWOOD UNIVERSITY,12224,TESSON FERRY RD,,1740,C
Vacant,12404,TESSON FERRY RD,,1740,C
Crown Optical,12406,TESSON FERRY RD,,1740,C
Dierberg's Market,12420,TESSON FERRY RD,,1740,C
the ups store,12430,TESSON FERRY RD,,1740,C
Orange Theory Fitness,12434,TESSON FERRY RD,,1740,C
St Louis Childrens Hospital Convenient Care,12436,TESSON FERRY RD,,1740,C
 Nails & More,12440,TESSON FERRY RD,,1740,C
Vacant,12442,TESSON FERRY RD,,1740,C
American Cleaners,12444,TESSON FERRY RD,,1740,C
deal$-nothing over a dollar,12450,TESSON FERRY RD,,1740,C
HUNAN ROYAL,12456,TESSON FERRY RD,,1740,C
starbucks coffee co.,12460,TESSON FERRY RD,,1740,C
LookAfter Hair Company,12464,TESSON FERRY RD,,1740,C
CHEVY'S FRESH MEX,12466,TESSON FERRY RD,,1740,C
vacant,12482,TESSON FERRY RD,,1740,C
Sinha Family Dentistry,12486,TESSON FERRY RD,,1740,C
Family Dental Care - Dr Sarah Mammen,12488,TESSON FERRY RD,,1740,C
Beltone Hearing Aids,12490,TESSON FERRY RD,,1740,C
Edward Jones,12492,TESSON FERRY RD,,1740,C
Fleet Feet Sports,12494,TESSON FERRY RD,,1740,C
dr. o'keefe,128018,TESSON FERRY RD,104,1740,C
"st. louis neurology assoc., inc.",12810,TESSON FERRY RD,,1740,C
"DR. R. BRENNAN, JR.",12812,TESSON FERRY RD,,1740,C
"INTERMED MEDICAL CONSULTANTS, INC.",12818,TESSON FERRY RD,101,1740,C
"daniel Mueth, Dds",12818,TESSON FERRY RD,102,1740,C
EYE CONSULTANTS OF ST. LOUIS,12818,TESSON FERRY RD,201 & 203,1740,C
"mark a. mcclure, dds",12818,TESSON FERRY RD,202,1740,C
southwestern hearing aid co.,12818,TESSON FERRY RD,205,1740,C
LA PETITE ACADEMY,12836,TESSON FERRY RD,,1740,C
TACO BELL,12850,TESSON FERRY RD,,1740,C
FIRST BANK  consumer adjustment,12855,TESSON FERRY RD,,1740,C
vacant,12856,TESSON FERRY RD,,1740,C
VALVOLINE INSTANT OIL CHANGE,12860,TESSON FERRY RD,,1740,C
Zips Car Wash,12864,TESSON FERRY RD,,1740,C
South County Diabetes & Obesity Center,12900,TESSON FERRY RD,,1740,C
TESSON FERRY VETERINARY HOSPITAL,12960,TESSON FERRY RD,,1740,C
PET STUDIO,12968,TESSON FERRY RD,LL,1740,C
ALEXANDER MANUFACTURING,12978,TESSON FERRY RD,,1740,C
American Eagle Credit Union,12988,TESSON FERRY RD,,1740,C
First Impressions preschool,12995,TESSON FERRY RD,,1740,C
south county baptist church,12995,TESSON FERRY RD,,1740,C
u. s. bank,13001,TESSON FERRY RD,,1740,C
great west met life,13045,TESSON FERRY RD,,1740,C
state farm insurance,13070,TESSON FERRY RD,,1740,C
CUTTING EDGE,13076,TESSON FERRY RD,,1740,C
READY MED PHARMACY,13080,TESSON FERRY RD,,1740,C
DR. YALCIN,13082,TESSON FERRY RD,,1740,C
hand therapy,13084,TESSON FERRY RD,,1740,C
AMERICAN FAMILY INSURANCE,13086,TESSON FERRY RD,,1740,C
edward jones,13088,TESSON FERRY RD,,1740,C
ROY'S SHELL AUTO CARE Center,13090,TESSON FERRY RD,,1740,C
"Glen E. Mueller, dmd, pc",13096,TESSON FERRY RD,,1740,C
quik trip,13099,TESSON FERRY RD,,1740,C
LOVE'S PHOTOGRAPHY,13100,TESSON FERRY RD,,1740,C
RD PRODUCTIONS,13106,TESSON FERRY RD,,1740,C
vacant,13116,TESSON FERRY RD,,1740,C
vacant,13117,TESSON FERRY RD,,1740,C
vacant,13119,TESSON FERRY RD,,1740,C
"so. co. eye care-wm. becker, md",13131,TESSON FERRY RD,100 & 108,1740,C
blue line dental center,13131,TESSON FERRY RD,101,1740,C
"Wm BURNEISTER, M.D.",13131,TESSON FERRY RD,105,1740,C
vacant,13131,TESSON FERRY RD,110,1740,C
allergy consultants,13131,TESSON FERRY RD,130,1740,C
TESSON FERRY FOOT & ANKLE,13131,TESSON FERRY RD,200,1740,C
quest diagnostics,13131,TESSON FERRY RD,210,1740,C
dr. tschudin,13131,TESSON FERRY RD,215 & 221,1740,C
Renal Care Medical Office Building,13134,TESSON FERRY RD,,1740,C
IMAGE CHOICES,13140,TESSON FERRY RD,,1740,C
CLEANERS 21,13142,TESSON FERRY RD,,1740,C
SUBWAY SANDWICHES,13146,TESSON FERRY RD,,1740,C
lyn nails,13148,TESSON FERRY RD,,1740,C
doubles d's pizza,13150,TESSON FERRY RD,,1740,C
NIGHT SKY,13154,TESSON FERRY RD,,1740,C
GOSPEL ASSEMBLY CHURCH,13169,TESSON FERRY RD,,1740,C
SOUTH COUNTY ANTIQUE MALL,13208,TESSON FERRY RD,,1740,C
LAUNDRY 21,13210,TESSON FERRY RD,,1740,C
DOMINO'S PIZZA,13214,TESSON FERRY RD,,1740,C
NEUTRAL ZONE TOYS,13216,TESSON FERRY RD,,1740,C
changes hair center,13218....20,TESSON FERRY RD,,1740,C
vacant,13222,TESSON FERRY RD,,1740,C
DIEHl FEED SOUTH,13224,TESSON FERRY RD,,1740,C
MURPHY'S ON 21,13226,TESSON FERRY RD,,1740,C
rid your stuff.com,13228,TESSON FERRY RD,,1740,C
"BEHAVIORAL CONSULTANTS, PC",13230,TESSON FERRY RD,,1740,C
creative mortgage concepts,13234,TESSON FERRY RD,,1740,C
vacant,13242,TESSON FERRY RD,,1740,C
lazarist residence,13245,TESSON FERRY RD,,1740,C
ACE HARDWARE,13246,TESSON FERRY RD,,1740,C
MCDONALD'S RESTAURANT,13250,TESSON FERRY RD,,1740,C
VACANT,13303,TESSON FERRY RD,10,1740,C
south county surgery center,13303,TESSON FERRY RD,100,1740,C
GATEWAY VASCULAR,13303,TESSON FERRY RD,125A,1740,C
eSSE HEALTH,13303,TESSON FERRY RD,150,1740,C
SPINECARE INC,13303,TESSON FERRY RD,25,1740,C
metro imaging,13303,TESSON FERRY RD,30,1740,C
vacant,13303,TESSON FERRY RD, 35,1740,C
st. johns mercy,13303,TESSON FERRY RD, 50,1740,C
GARDEN VILLAS SOUTH,13457,TESSON FERRY RD,,1740,C
mobil,13500,TESSON FERRY RD,,1740,C
CARPET FOR LESS,13520,TESSON FERRY RD,,1740,C
vacant,13520,TESSON FERRY RD,,1740,C
HAIR TECHNIQUE,13526,TESSON FERRY RD,,1740,C
Mac's Automotive,13580,TESSON FERRY RD,,1740,C
CONCORD BAPTIST CHURCH,13775,TESSON FERRY RD,,1740,C
CONCORD WEE SCHOOL,13775,TESSON FERRY RD,,1740,C
BAIT STORE/CHIP AWAY LAKE,13933,TESSON FERRY RD,,1740,C
winter brothers material co.,13977,TESSON FERRY RD,,1740,C
bank of america,5240,TOWNE SOUTH RD,,1740,C
Phillips 66,5245,TOWNE SOUTH RD,,1740,C
QUAIL CREEK GOLF CLUB - CLUBHOUSE,6022,WELLS RD,,1740,C
WAYNE C. KENNEDY RECREATION COMPLEX,6050,WELLS RD,,1740,C
"SUSON PARK, ST. LOUIS County PARKS",6073,WELLS RD,,1740,C
QUAIL CREEK GOLF CLUB - MAINT. BLDG.,6200,WELLS RD,,1740,C
Tesson Heights Retirement Center,12335,WEST BEND DR,,1740,C
Tesson Heights Skilled Care,12335,WEST BEND DR,,1740,C
LAB CORP,12345,WEST BEND DR,100,1740,C
SOUTH COUNTY IMAGING CENTER,12345,WEST BEND DR,105,1740,C
SOUTH COUNTY UROLOGICAL,12345,WEST BEND DR,200,1740,C
SOUTH COUNTY UROLOGY,12345,WEST BEND DR,201,1740,C
ESSE HEALTH,12345,WEST BEND DR,300,1740,C
ADVANCE PAIN,12345,WEST BEND DR,302,1740,C
COLORECTAL,12345,WEST BEND DR,303,1740,C
INTERNAL MEDICINE,12345,WEST BEND DR,304,1740,C
barstool gallery,11229,CONCORD VILLAGE AVE,,1750,A
"kevin l. klug, attorney",11237,CONCORD VILLAGE AVE,,1750,A
MEINHARDT INSURANCE,11310,CONCORD VILLAGE AVE,,1750,A
THE LINDE GROUP INC.,11325,CONCORD VILLAGE AVE,,1750,A
"DONELSON CYCLES, INC.",11334,CONCORD VILLAGE AVE,,1750,A
credit union lending systems,11400,CONCORD VILLAGE AVE,A,1750,A
state farm insurance,11400,CONCORD VILLAGE AVE,B&C,1750,A
"BUTLER ASSOCIATES FINANACIAL PLANNERS, INC.",11400,CONCORD VILLAGE AVE,D,1750,A
re/max gold,11400,CONCORD VILLAGE AVE,"E, F, G, H ",1750,A
CONCORD CLEANERS,11415,CONCORD VILLAGE AVE,,1750,A
Pathways,11419,CONCORD VILLAGE AVE,,1750,A
"MR. B'S POOL CENTERS, INC.",11420,CONCORD VILLAGE AVE,,1750,A
SCHOTTZIE'S BAR & GRILL,11428,CONCORD VILLAGE AVE,,1750,A
HEARTH STONE KNITS,11429,CONCORD VILLAGE AVE,,1750,A
brewers so. county printing,11431,CONCORD VILLAGE AVE,,1750,A
BREUERS STANDARD SERVICE,11432,CONCORD VILLAGE AVE,,1750,A
r. j. wachter plumbing co.,11433,CONCORD VILLAGE AVE,,1750,A
CROSSROADS BAR,11440,CONCORD VILLAGE AVE,,1750,A
ALLEN TRANSMISSION,11445,CONCORD VILLAGE AVE,,1750,A
VACANT,11455,CONCORD VILLAGE AVE,,1750,A
SOUTH COUNTY PAWN SHOP,11500,CONCORD VILLAGE AVE,,1750,A
THE TRUMPET SHOP & VILLAGE MUSIC STORE,11501,CONCORD VILLAGE AVE,,1750,A
PLACE DE LA CONCORDE APTS.,11542,CONCORD VILLAGE AVE,APT. F,1750,A
HYDRO-JET CARWASH,11548,CONCORD VILLAGE AVE,,1750,A
"STUMPF & ASSOCIATES, INC.",11555,CONCORD VILLAGE AVE,A,1750,A
SPC BUSINESS SOLUTIONS,11555,CONCORD VILLAGE AVE,B,1750,A
FUSION,11600,CONCORD VILLAGE AVE,1-E,1750,A
VILLAGE BARBERS,11600,CONCORD VILLAGE AVE,1-W,1750,A
MOBILE DIAGNOSTIC IMAGING,11600,CONCORD VILLAGE AVE,4,1750,A
VILLAGE BEAUTICIANS,11600,CONCORD VILLAGE AVE,FRONT,1750,A
MARK 1 TUNE UP CENTER,11607,CONCORD VILLAGE AVE,,1750,A
"william schluter, dds",11608,CONCORD VILLAGE AVE,,1750,A
SPANKY'S FROZEN CUSTARD,11616,CONCORD VILLAGE AVE,,1750,A
MATEKER'S MEATS,11642,CONCORD VILLAGE AVE,,1750,A
MERBS CANDIES,11644,CONCORD VILLAGE AVE,,1750,A
American Family Insurance,11646,CONCORD VILLAGE AVE,,1750,A
walden's AUTOMOTIVE,11649,CONCORD VILLAGE AVE,,1750,A
McCay Tool & Engineering,9816,EVERGREEN INDUSTRIAL DR,,1750,A
Packaging Concepts,9832,EVERGREEN INDUSTRIAL DR,,1750,A
Green Park Gardens Apartments,9435,GREEN PARK GARDENS DR,B,1750,A
Americom Imaging Systems,100,GREEN PARK INDUSTRIAL CT,,1750,A
JE Foster Building Co,108,GREEN PARK INDUSTRIAL CT,,1750,A
BUD DOME I,109,GREEN PARK INDUSTRIAL CT,,1750,A
Piero Protect,9701,GREEN PARK INDUSTRIAL DR,,1750,A
OIA Consulting Inc dba Oak Island Creative,9703,GREEN PARK INDUSTRIAL DR,A,1750,A
OIA Consulting Inc dba Oak Island Creative,9703,GREEN PARK INDUSTRIAL DR,B,1750,A
jgb ENTERPRISES,9707,GREEN PARK INDUSTRIAL DR,,1750,A
premier products,9709,GREEN PARK INDUSTRIAL DR,,1750,A
VACANT,9711,GREEN PARK INDUSTRIAL DR,,1750,A
Bud Dome II,9719,GREEN PARK INDUSTRIAL DR,,1750,A
HEARTLAND Industries,9727,GREEN PARK INDUSTRIAL DR,,1750,A
NOMAX,9735,GREEN PARK INDUSTRIAL DR,,1750,A
artur express/AM PM TRUCK REPAIR,9751,GREEN PARK INDUSTRIAL DR,,1750,A
Advanced Plastics,9752,GREEN PARK INDUSTRIAL DR,,1750,A
Gateway Digital Press,9777,GREEN PARK INDUSTRIAL DR,,1750,A
Supplement Superstore/Buff Enterprises,9779,GREEN PARK INDUSTRIAL DR,,1750,A
1st Phorm International LLC,9781,GREEN PARK INDUSTRIAL DR,,1750,A
Behrmann Office & Warehouse,9783,GREEN PARK INDUSTRIAL DR,,1750,A
Bitrode Corporation,9787,GREEN PARK INDUSTRIAL DR,,1750,A
Ashley Furniture Warehouse,9791,GREEN PARK INDUSTRIAL DR,,1750,A
schweiss cabinet shop,4501,GREEN PARK RD,,1750,A
DIAN SUPpLY INC.,4505,GREEN PARK RD,,1750,A
SCHALLER HARDWOOD,4527,GREEN PARK RD,,1750,A
VAC-IT-ALL,4533,GREEN PARK RD,,1750,A
vacant,4547,GREEN PARK RD,1,1750,A
BEST cABINETS,4547,GREEN PARK RD,2,1750,A
"vacant
",4547,GREEN PARK RD,3 & 4,1750,A
custom exteriors,4547,GREEN PARK RD,4,1750,A
"runge painting co., inc.",4547,GREEN PARK RD,5 & 6,1750,A
HOEL-STEFFEN CONSTruction,4547,GREEN PARK RD,7 & 8,1750,A
custom home roofing,4547,GREEN PARK RD,9,1750,A
Carco dba Hy-Torque,4547,GREEN PARK RD,H,1750,A
arch recovert,4601,GREEN PARK RD,,1750,A
Flanagan White Delivery,4645,GREEN PARK RD,,1750,A
GAPSCH carstar collision center,4709,GREEN PARK RD,,1750,A
"R. V. WAGNER, INC.",4712,GREEN PARK RD,,1750,A
wILSON MANUFACTURING CO.,4725,GREEN PARK RD,,1750,A
JOHN SMITH MASONRY,9200,GREEN PARK RD,,1750,A
GREEN PARK RESIDENT CENTER,9300,GREEN PARK RD,,1750,A
GREEN PARK nursing home,9350,GREEN PARK RD,,1750,A
Blake C Snyder Memorial Park,9801,GREEN PARK RD,,1750,A
LAVINIA GARDEN APartments,10709,KAY BERRY DR,,1750,A
LAVINIA GARDEN APartments,10709,KAY BERRY DR,,1750,A
ST. LOUIS CO. HWY. DEPARTMENT,201,KOHRS LN,,1750,A
Budrovich Training Center,10300,LAKE BLUFF DR,,1750,A
eagle nonwovenS,10301,LAKE BLUFF DR,,1750,A
kci construction co.-corporate hq,10315,LAKE BLUFF DR,,1750,A
aggreko,10317,LAKE BLUFF DR,,1750,A
budrovich excavating inc.,10328,LAKE BLUFF DR,,1750,A
Americom Imaging Systems Inc,10352,LAKE BLUFF DR,,1750,A
VACANT,10360,LAKE BLUFF DR,A,1750,A
premier MANUFACTURING,10360,LAKE BLUFF DR,B,1750,A
ST. PHILIP'S early childhood center,10708,LAVINIA DR,,1750,A
ST. PHILIP'S UNITED CHURCH OF CHRIST,10708,LAVINIA DR,,1750,A
Fresh Thyme Farmers Market,9920,LIN FERRY DR,,1750,A
CAR QUEST,9931,LIN FERRY DR,,1750,A
"r f schraut heating, cooling, & grill & Fireplace shop",9937,LIN FERRY DR,,1750,A
CONCORD AUTO PARTS,9943,LIN FERRY DR,,1750,A
HAIR TAILORS,9947,LIN FERRY DR,,1750,A
THE TAILORS BOUTIQUE,9951,LIN FERRY DR,,1750,A
LOOKING GOOD BEAUTY SHOP,9955,LIN FERRY DR,,1750,A
"ARCHiTECTS OFFICe, INC.",9958,LIN FERRY DR,,1750,A
VACANT,9959,LIN FERRY DR,,1750,A
CYCLE IT STAFFING,9962,LIN FERRY DR,100,1750,A
mary kay ,9962,LIN FERRY DR,200,1750,A
Jennifer Edmondson LPC,9962,LIN FERRY DR,203,1750,A
"crestwood tubulars, Inc.",9962,LIN FERRY DR,207...208 Upstairs,1750,A
TANGLES  HAIR STUDIO,9964,LIN FERRY DR,,1750,A
hair & body works,9965,LIN FERRY DR,,1750,A
VACANT,9966,LIN FERRY DR,,1750,A
TAILOR BOUNTY,9967,LIN FERRY DR,,1750,A
viatech,9968,LIN FERRY DR,,1750,A
Pooch Parlor,9975,LIN FERRY DR,,1750,A
CECIL WHITTAKER'S PIZZA,9975,LIN FERRY DR,A,1750,A
oakville call,9977,LIN FERRY DR,,1750,A
GREEN PARK DENTAL LAB,9979,LIN FERRY DR,,1750,A
FAMOUSLY YOURS,9981,LIN FERRY DR,,1750,A
Bestouch,9984,LIN FERRY DR,,1750,A
SOUTH COUNTY CYCLERY,9985,LIN FERRY DR,,1750,A
CAFE manhattan,9992,LIN FERRY DR,,1750,A
FRUMAN FIBERGLASS,10918,LIN VALLE DR,,1750,A
insurance restoration,10926,LIN VALLE DR,,1750,A
Graces Helping Hand NFP,10926,LIN VALLE DR,REAR,1750,A
PARAMETRIC ASSOCiation INC.,10934,LIN VALLE DR,,1750,A
bommarito industrial,10934,LIN VALLE DR,"A, C, & D",1750,A
A & D PRECISION BUILDERS,10934,LIN VALLE DR,B,1750,A
MILFORD SUPPLY CO.,10943,LIN VALLE DR,,1750,A
HAUSER & MILLER CO.,10950,LIN VALLE DR,,1750,A
Rhymes  Heating & Cooling,10958,LIN VALLE DR,,1750,A
coast to coast,10964,LIN VALLE DR,,1750,A
Miracle Ear,10964,LIN VALLE DR,A,1750,A
SWAN INDUSTRIES,10975,LIN VALLE DR,,1750,A
KING O TILE,10979,LIN VALLE DR,,1750,A
dental equipment co.,10987,LIN VALLE DR,A,1750,A
a. w. heating,10987,LIN VALLE DR,B,1750,A
LABORER'S LOCAL 110,11000,LIN VALLE DR,,1750,A
CARDINAL SCALE MFG. INC.,11005,LIN VALLE DR,,1750,A
bob kunz automotive,11011,LIN VALLE DR,,1750,A
"info n control, inc.",11012,LIN VALLE DR,A & B,1750,A
c & C wine distributing,11012,LIN VALLE DR,D,1750,A
Route 3 Films,11012,LIN VALLE DR,F,1750,A
symphony mobilex,11012,LIN VALLE DR,G,1750,A
EXCKLUSIVE VISUALS,11012,LIN VALLE DR,H,1750,A
Century Restoration,11012,LIN VALLE DR,J,1750,A
QUALITY LABELS,11012,LIN VALLE DR,J...K,1750,A
AJA TOOL CO.,11017,LIN VALLE DR,,1750,A
danco construction,11025,LIN VALLE DR,,1750,A
"ELECTRICAL ACCESSORIES, INC.",11033,LIN VALLE DR,,1750,A
global enviromental lab,11040,LIN VALLE DR,A...C,1750,A
"SURE-TECH, INC.",11040,LIN VALLE DR,D,1750,A
topaz printing inc.,11040,LIN VALLE DR,E,1750,A
stiehl service heating & cooling,11040,LIN VALLE DR,F,1750,A
design electric,11040,LIN VALLE DR,G,1750,A
"dino bebe,llc",11040,LIN VALLE DR,H,1750,A
munters Corp.,11040,LIN VALLE DR,J...K,1750,A
FAITH HOSPICE,11040,LIN VALLE DR,L,1750,A
TOPMOP QUALITY CLEANING,11040,LIN VALLE DR,N...P,1750,A
de angelo brothers,11040,LIN VALLE DR,Q,1750,A
hawkins building services of st. louis,11040,LIN VALLE DR,R,1750,A
Schaeffer Marketing Group Inc,11041,LIN VALLE DR,,1750,A
Industrial Detailing,11041,LIN VALLE DR,1B,1750,A
SYNTRONIX,11041,LIN VALLE DR,2...3,1750,A
precision prosthetics & orthotics,11102,LINDBERGH BUSINESS CT,,1750,A
heff's automotive supply inc.,11109,LINDBERGH BUSINESS CT,,1750,A
merry maids,11110,LINDBERGH BUSINESS CT,,1750,A
VIDEO SERVICES GROUP,11126,LINDBERGH BUSINESS CT,A...C,1750,A
ALL AMERICAN INDOOR SPORTS,11133,LINDBERGH BUSINESS CT,,1750,A
ALLUSIONS INC.,11133,LINDBERGH BUSINESS CT,,1750,A
esquire sports medicine,11133,LINDBERGH BUSINESS CT,,1750,A
ALL AMERICAN SPORTS BAR & GRILL,11133,LINDBERGH BUSINESS CT,,1750,A
HOCKEY loft,11133,LINDBERGH BUSINESS CT,,1750,B
DOOR SERVICE,11134,LINDBERGH BUSINESS CT,A,1750,B
autos of st. louis,11134,LINDBERGH BUSINESS CT,B,1750,B
edic systems,11134,LINDBERGH BUSINESS CT,C,1750,B
msb enterprises,11134,LINDBERGH BUSINESS CT,C,1750,B
hoveround,11142,LINDBERGH BUSINESS CT,101,1750,B
BENCH MARK PRINTING CENTER,11142,LINDBERGH BUSINESS CT,105,1750,B
VACANT,11142,LINDBERGH BUSINESS CT,109,1750,B
KIRKWOOD KARS L.LC,11142,LINDBERGH BUSINESS CT,113,1750,B
"R.G. WEBER CONTROL SYSTEMS, INC.",11142,LINDBERGH BUSINESS CT,117,1750,B
METRO HEATING AND COOLING,11146,LINDBERGH BUSINESS CT,,1750,B
access copier solutions,11146,LINDBERGH BUSINESS CT,102,1750,B
FIRE SAFETY INC.,11146,LINDBERGH BUSINESS CT,106,1750,B
UNITED MOTOR SPORTS,11146,LINDBERGH BUSINESS CT,106,1750,B
,11146,LINDBERGH BUSINESS CT,110,1750,B
RICHARD E. BROWN LLC,11146,LINDBERGH BUSINESS CT,114,1750,B
quality communications,11146,LINDBERGH BUSINESS CT,118,1750,B
autos of st. louis,11146,LINDBERGH BUSINESS CT,122,1750,B
Ameren UE TRAINING CENTER,11149,LINDBERGH BUSINESS CT,,1750,B
Far Below Retail,11150,LINDBERGH BUSINESS CT,107,1750,B
POSTCARD DEALS,11150,LINDBERGH BUSINESS CT,111,1750,B
manley holding co.,11150,LINDBERGH BUSINESS CT,119,1750,B
Schaefer Autobody Centers,11153,LINDBERGH BUSINESS CT,,1750,B
ROSE EXTERMINATOR CO,11154,LINDBERGH BUSINESS CT,100,1750,B
HOVERROUND CORP,11154,LINDBERGH BUSINESS CT,104,1750,B
VACANT,11154,LINDBERGH BUSINESS CT,112...120,1750,B
"JIM BUTLER SATURN, INC",11157,LINDBERGH BUSINESS CT,,1750,B
ALDI,11158,LINDBERGH BUSINESS CT,,1750,B
